claim_id,claim_open_date,claim_close_date,date_key_open,date_key_close,customer_id,product_id,supplier_id,root_cause_id,location_id,claim_status,severity_level,cost_impact_usd,quantity_affected,days_to_close,recurrence_flag,claim_type,inspection_stage,defect_code,detected_by,business_unit
CLM000015,2024-12-12,2025-08-31,20241212,20250831,CUST011,PROD013,SUP015,RC011,LOC006,Closed,Critical,20000.0,17,262,1,Supplier Claim,Process,D006,Inspection,Industrial
CLM000016,2024-12-12,2025-01-21,20241212,20250121,CUST006,PROD002,SUP012,RC007,LOC004,Closed,High,5000.0,23,40,1,Customer Claim,Incoming,D015,Customer,Operations
CLM000017,2024-07-10,2024-08-04,20240710,20240804,CUST044,PROD016,SUP015,RC006,LOC003,Closed,Medium,2015.08,13,25,0,Customer Claim,Final Inspection,D013,Customer,Supply Chain
CLM000018,2026-08-09,2026-08-10,20260809,20260810,CUST038,PROD015,SUP010,RC001,LOC006,Closed,Low,574.56,18,1,1,Internal Event,Incoming,D014,Inspection,Industrial
CLM000019,2023-07-06,,20230706,,CUST008,PROD005,SUP004,RC002,LOC008,Canceled,Low,1262.77,16,,0,Internal Event,Process,D008,Audit,Operations
CLM000020,2024-03-09,2024-08-02,20240309,20240802,CUST011,PROD005,SUP005,RC006,LOC001,Closed,Medium,2683.34,27,146,1,Customer Claim,Process,D018,Inspection,Supply Chain
CLM000021,2024-08-20,2024-09-03,20240820,20240903,CUST039,PROD011,SUP009,RC004,LOC004,Closed,Medium,8000.0,17,14,1,Customer Claim,Process,D002,Operator,Operations
CLM000022,2023-03-03,,20230303,,CUST009,PROD018,SUP003,RC009,LOC005,In Analysis,Medium,5222.53,22,,1,Customer Claim,Logistics,D007,Customer,Industrial
CLM000023,2023-12-22,2024-03-16,20231222,20240316,CUST018,PROD002,SUP010,RC008,LOC008,Closed,High,13212.41,31,85,0,Customer Claim,Customer Site,D020,Audit,Supply Chain
CLM000024,2026-10-22,,20261022,,CUST048,PROD007,SUP005,RC007,LOC006,Open,Medium,4566.55,17,,1,Supplier Claim,Incoming,D006,Operator,Supply Chain
CLM000025,2024-12-17,2024-12-28,20241217,20241228,CUST053,PROD004,SUP011,RC009,LOC007,Closed,Low,100.0,14,11,0,Internal Event,Logistics,D017,Inspection,Operations
CLM000026,2024-11-27,2024-11-29,20241127,20241129,CUST038,PROD012,SUP006,RC010,LOC007,Closed,Low,477.05,16,2,1,Internal Event,Final Inspection,D003,System,Supply Chain
CLM000027,2025-07-17,,20250717,,CUST052,PROD002,SUP012,RC009,LOC007,In Analysis,Medium,1436.89,18,,0,Customer Claim,Customer Site,D018,Customer,Industrial
CLM000028,2024-01-02,,20240102,,CUST013,PROD004,SUP002,RC002,LOC004,In Analysis,Critical,92576.13,14,,0,Customer Claim,Customer Site,D005,Audit,Operations
CLM000029,2023-06-02,2023-06-11,20230602,20230611,CUST028,PROD002,SUP005,RC009,LOC006,Closed,Medium,2344.03,16,9,0,Customer Claim,Logistics,D007,Customer,Industrial
CLM000030,2026-12-14,2026-12-25,20261214,20261225,CUST041,PROD022,SUP005,RC011,LOC008,Closed,Low,231.19,18,11,0,Customer Claim,Final Inspection,D002,Customer,Operations
CLM000031,2023-03-03,2023-04-27,20230303,20230427,CUST048,PROD013,SUP016,RC002,LOC007,Closed,Critical,120000.0,23,55,0,Customer Claim,Process,D004,Operator,Supply Chain
CLM000032,2024-01-23,,20240123,,CUST022,PROD013,SUP014,RC001,LOC006,In Analysis,High,5000.0,18,,0,Customer Claim,Process,D003,Operator,Supply Chain
CLM000033,2024-06-21,2024-08-01,20240621,20240801,CUST056,PROD008,SUP013,RC002,LOC002,Closed,High,10171.81,16,41,0,Customer Claim,Customer Site,D008,System,Supply Chain
CLM000034,2024-09-12,2024-09-29,20240912,20240929,CUST057,PROD006,SUP002,RC001,LOC006,Closed,High,25000.0,22,17,0,Customer Claim,Customer Site,D019,System,Operations
CLM000035,2023-09-30,2023-10-03,20230930,20231003,CUST042,PROD013,SUP017,RC004,LOC004,Closed,Low,384.43,27,3,0,Internal Event,Process,D009,Inspection,Supply Chain
CLM000036,2025-05-04,2025-05-11,20250504,20250511,CUST043,PROD020,SUP007,RC011,LOC007,Closed,Low,100.0,20,7,1,Internal Event,Final Inspection,D008,Customer,Operations
CLM000037,2025-11-28,2025-12-12,20251128,20251212,CUST026,PROD013,SUP014,RC008,LOC005,Closed,Low,670.05,18,14,0,Customer Claim,Logistics,D015,Audit,Industrial
CLM000038,2026-10-28,2026-10-30,20261028,20261030,CUST023,PROD023,SUP018,RC008,LOC008,Closed,Low,100.0,26,2,0,Customer Claim,Logistics,D016,Audit,Industrial
CLM000039,2026-03-24,,20260324,,CUST032,PROD018,SUP003,RC002,LOC001,Pending,Medium,4381.62,14,,0,Customer Claim,Process,D010,Operator,Industrial
CLM000040,2023-08-30,2023-11-18,20230830,20231118,CUST026,PROD016,SUP005,RC007,LOC007,Closed,High,6927.86,16,80,0,Supplier Claim,Incoming,D012,System,Industrial
CLM000041,2026-02-27,,20260227,,CUST024,PROD013,SUP005,RC007,LOC002,Pending,Low,299.22,27,,1,Internal Event,Incoming,D015,Audit,Industrial
CLM000042,2023-02-04,2023-03-15,20230204,20230315,CUST020,PROD015,SUP005,RC007,LOC005,Closed,Medium,1505.65,23,39,0,Internal Event,Incoming,D008,Operator,Supply Chain
CLM000043,2023-12-10,2023-12-22,20231210,20231222,CUST048,PROD015,SUP013,RC002,LOC007,Closed,Low,1282.4,22,12,0,Customer Claim,Process,D019,System,Industrial
CLM000044,2025-07-25,,20250725,,CUST049,PROD021,SUP010,RC007,LOC002,In Analysis,High,23303.99,17,,0,Internal Event,Incoming,D004,Customer,Operations
CLM000045,2023-08-27,2023-09-22,20230827,20230922,CUST037,PROD020,SUP018,RC005,LOC003,Closed,Medium,1000.0,19,26,0,Customer Claim,Customer Site,D020,Customer,Industrial
CLM000046,2025-10-26,2025-11-29,20251026,20251129,CUST011,PROD021,SUP003,RC001,LOC001,Closed,Medium,1455.32,16,34,0,Internal Event,Process,D020,System,Operations
CLM000047,2023-11-25,,20231125,,CUST030,PROD011,SUP017,RC010,LOC004,In Analysis,Low,848.56,21,,0,Internal Event,Final Inspection,D006,Audit,Industrial
CLM000048,2024-01-16,2024-02-27,20240116,20240227,CUST049,PROD004,SUP018,RC003,LOC005,Closed,Medium,2498.75,27,42,0,Internal Event,Incoming,D006,Operator,Supply Chain
CLM000049,2023-08-19,2023-08-31,20230819,20230831,CUST059,PROD008,SUP010,RC003,LOC006,Closed,Low,1500.0,19,12,0,Supplier Claim,Incoming,D008,Inspection,Supply Chain
CLM000050,2026-04-14,2026-04-22,20260414,20260422,CUST048,PROD022,SUP006,RC003,LOC005,Closed,Low,578.49,25,8,0,Customer Claim,Incoming,D015,System,Industrial
CLM000051,2024-02-02,,20240202,,CUST026,PROD023,SUP018,RC006,LOC008,Open,Low,233.81,21,,0,Internal Event,Final Inspection,D007,Inspection,Operations
CLM000052,2023-10-06,2023-10-24,20231006,20231024,CUST028,PROD020,SUP018,RC003,LOC005,Closed,Medium,8000.0,23,18,1,Customer Claim,Incoming,D009,Operator,Operations
CLM000053,2023-03-28,,20230328,,CUST003,PROD006,SUP006,RC003,LOC007,Pending,Medium,1000.0,15,,0,Customer Claim,Incoming,D004,Customer,Operations
CLM000054,2026-06-24,,20260624,,CUST020,PROD008,SUP008,RC006,LOC008,Open,High,5000.0,11,,0,Customer Claim,Process,D006,Inspection,Operations
CLM000055,2025-05-24,2025-06-22,20250524,20250622,CUST055,PROD006,SUP015,RC004,LOC008,Closed,Medium,6414.41,16,29,1,Supplier Claim,Process,D008,Inspection,Supply Chain
CLM000056,2026-05-19,,20260519,,CUST048,PROD013,SUP007,RC011,LOC005,In Analysis,Medium,8000.0,23,,0,Customer Claim,Incoming,D003,Customer,Industrial
CLM000057,2025-12-11,,20251211,,CUST010,PROD016,SUP015,RC005,LOC006,Open,Medium,1381.79,18,,0,Internal Event,Process,D013,Operator,Supply Chain
CLM000058,2024-07-21,,20240721,,CUST006,PROD017,SUP018,RC003,LOC007,Open,Low,129.21,18,,1,Supplier Claim,Process,D005,Customer,Operations
CLM000059,2026-10-11,,20261011,,CUST037,PROD015,SUP011,RC010,LOC001,Pending,Medium,23747.02,14,,0,Internal Event,Process,D013,Inspection,Operations
CLM000060,2023-09-25,,20230925,,CUST022,PROD002,SUP013,RC011,LOC002,In Analysis,High,25000.0,17,,0,Supplier Claim,Final Inspection,D020,Operator,Supply Chain
CLM000061,2024-05-13,2024-05-24,20240513,20240524,CUST047,PROD007,SUP016,RC005,LOC008,Closed,Low,1012.26,24,11,0,Customer Claim,Final Inspection,D007,Inspection,Industrial
CLM000062,2024-01-06,,20240106,,CUST055,PROD002,SUP015,RC005,LOC003,Open,High,13267.28,17,,0,Customer Claim,Final Inspection,D003,Customer,Operations
CLM000063,2023-12-24,,20231224,,CUST028,PROD003,SUP006,RC003,LOC005,Open,Medium,2009.57,18,,0,Customer Claim,Incoming,D017,Customer,Industrial
CLM000064,2023-04-04,2023-04-19,20230404,20230419,CUST024,PROD023,SUP004,RC005,LOC003,Closed,Medium,8000.0,13,15,0,Customer Claim,Process,D019,Inspection,Supply Chain
CLM000065,2024-03-04,2024-04-09,20240304,20240409,CUST049,PROD002,SUP008,RC010,LOC001,Closed,Medium,6131.71,21,36,0,Internal Event,Final Inspection,D005,Customer,Industrial
CLM000066,2026-02-26,2026-03-30,20260226,20260330,CUST034,PROD006,SUP012,RC005,LOC004,Closed,Medium,1002.82,22,32,0,Internal Event,Customer Site,D020,System,Supply Chain
CLM000067,2024-09-22,2024-10-03,20240922,20241003,CUST042,PROD017,SUP007,RC008,LOC002,Closed,Low,795.9,15,11,0,Customer Claim,Logistics,D019,Inspection,Supply Chain
CLM000068,2023-03-09,2023-03-21,20230309,20230321,CUST057,PROD010,SUP010,RC007,LOC005,Closed,Low,1500.0,22,12,0,Customer Claim,Incoming,D020,Inspection,Operations
CLM000069,2024-02-05,2024-07-26,20240205,20240726,CUST034,PROD002,SUP017,RC005,LOC003,Closed,Critical,25349.14,27,172,0,Customer Claim,Process,D009,Inspection,Supply Chain
CLM000070,2025-07-11,2025-07-21,20250711,20250721,CUST029,PROD002,SUP014,RC004,LOC008,Closed,Low,1017.67,21,10,0,Customer Claim,Process,D006,Inspection,Industrial
CLM000071,2024-12-05,2025-01-02,20241205,20250102,CUST006,PROD002,SUP012,RC011,LOC007,Closed,Medium,5309.9,16,28,0,Internal Event,Process,D015,Inspection,Supply Chain
CLM000072,2026-07-24,2026-08-05,20260724,20260805,CUST039,PROD006,SUP006,RC003,LOC007,Closed,Medium,7525.73,17,12,0,Internal Event,Incoming,D019,Inspection,Industrial
CLM000073,2026-06-16,2026-06-23,20260616,20260623,CUST055,PROD010,SUP018,RC005,LOC006,Closed,Medium,1000.0,12,7,0,Customer Claim,Incoming,D007,Inspection,Industrial
CLM000074,2024-09-11,2024-10-06,20240911,20241006,CUST022,PROD013,SUP009,RC005,LOC008,Closed,Medium,3651.33,21,25,0,Customer Claim,Final Inspection,D018,Inspection,Industrial
CLM000075,2025-07-11,2025-07-31,20250711,20250731,CUST018,PROD021,SUP010,RC010,LOC006,Closed,Medium,1000.0,31,20,0,Internal Event,Customer Site,D009,Operator,Industrial
CLM000076,2024-10-21,2024-12-05,20241021,20241205,CUST016,PROD017,SUP012,RC012,LOC008,Closed,Medium,7577.57,22,45,0,Internal Event,Process,D006,Audit,Industrial
CLM000077,2024-05-24,2024-06-20,20240524,20240620,CUST003,PROD013,SUP008,RC009,LOC002,Closed,Medium,8000.0,15,27,0,Customer Claim,Customer Site,D013,Operator,Supply Chain
CLM000078,2026-01-31,,20260131,,CUST026,PROD005,SUP009,RC001,LOC004,Open,Critical,25780.33,22,,0,Customer Claim,Process,D020,System,Supply Chain
CLM000079,2023-01-28,2023-02-05,20230128,20230205,CUST008,PROD017,SUP009,RC007,LOC003,Closed,Low,378.26,16,8,0,Internal Event,Incoming,D014,Customer,Operations
CLM000080,2024-08-20,2024-09-01,20240820,20240901,CUST048,PROD008,SUP013,RC005,LOC008,Closed,Low,159.2,18,12,0,Supplier Claim,Final Inspection,D015,Customer,Industrial
CLM000081,2024-10-03,2024-11-01,20241003,20241101,CUST012,PROD003,SUP014,RC012,LOC008,Closed,Medium,8000.0,15,29,0,Customer Claim,Customer Site,D010,Customer,Industrial
CLM000082,2023-10-14,,20231014,,CUST046,PROD021,SUP018,RC003,LOC005,In Analysis,Low,100.0,18,,0,Customer Claim,Incoming,D004,Inspection,Industrial
CLM000083,2023-07-12,,20230712,,CUST001,PROD005,SUP012,RC002,LOC002,Open,Low,1500.0,22,,1,Customer Claim,Process,D004,Operator,Supply Chain
CLM000084,2026-07-02,2026-07-12,20260702,20260712,CUST041,PROD010,SUP017,RC004,LOC008,Closed,Low,192.05,20,10,0,Customer Claim,Process,D016,Inspection,Operations
CLM000085,2026-07-24,2026-11-22,20260724,20261122,CUST041,PROD019,SUP011,RC011,LOC006,Closed,Critical,20000.0,16,121,0,Customer Claim,Incoming,D016,Inspection,Operations
CLM000086,2024-04-11,2024-07-15,20240411,20240715,CUST043,PROD006,SUP004,RC007,LOC004,Closed,Medium,1591.17,23,95,0,Customer Claim,Incoming,D013,Operator,Operations
CLM000087,2025-03-28,2025-04-10,20250328,20250410,CUST046,PROD017,SUP006,RC006,LOC004,Closed,Low,1421.54,21,13,1,Customer Claim,Customer Site,D008,System,Supply Chain
CLM000088,2023-06-24,,20230624,,CUST042,PROD006,SUP016,RC005,LOC004,Canceled,Low,676.15,17,,0,Customer Claim,Incoming,D018,Inspection,Industrial
CLM000089,2026-04-20,,20260420,,CUST024,PROD023,SUP018,RC003,LOC006,Canceled,Medium,1841.27,20,,1,Supplier Claim,Final Inspection,D004,System,Supply Chain
CLM000090,2026-09-24,,20260924,,CUST026,PROD009,SUP009,RC001,LOC007,Open,Low,418.14,25,,0,Internal Event,Customer Site,D011,Inspection,Industrial
CLM000091,2025-08-11,,20250811,,CUST034,PROD019,SUP010,RC003,LOC007,Canceled,Low,252.57,17,,0,Customer Claim,Incoming,D004,Inspection,Supply Chain
CLM000092,2025-08-15,,20250815,,CUST013,PROD021,SUP018,RC010,LOC003,Pending,Medium,7047.78,13,,1,Supplier Claim,Incoming,D005,System,Operations
CLM000093,2025-12-18,2025-12-30,20251218,20251230,CUST031,PROD020,SUP006,RC008,LOC004,Closed,Low,1334.38,25,12,1,Internal Event,Logistics,D004,System,Industrial
CLM000094,2025-09-18,,20250918,,CUST030,PROD008,SUP016,RC008,LOC005,Open,Low,157.01,20,,0,Customer Claim,Logistics,D014,System,Operations
CLM000095,2026-02-11,,20260211,,CUST038,PROD002,SUP016,RC001,LOC005,Open,Medium,4283.55,22,,0,Customer Claim,Final Inspection,D006,System,Industrial
CLM000096,2025-02-07,2025-03-02,20250207,20250302,CUST034,PROD014,SUP002,RC012,LOC008,Closed,Medium,3093.84,15,23,1,Customer Claim,Process,D007,Customer,Industrial
CLM000097,2025-07-03,2025-07-12,20250703,20250712,CUST056,PROD008,SUP010,RC010,LOC006,Closed,Low,936.78,17,9,0,Supplier Claim,Incoming,D011,System,Supply Chain
CLM000098,2026-05-29,2026-07-03,20260529,20260703,CUST052,PROD003,SUP017,RC009,LOC002,Closed,Medium,4071.68,23,35,1,Customer Claim,Logistics,D009,Customer,Industrial
CLM000099,2026-11-11,,20261111,,CUST050,PROD015,SUP005,RC007,LOC005,Open,Low,355.53,19,,0,Supplier Claim,Final Inspection,D008,Inspection,Operations
CLM000100,2025-01-14,2025-01-27,20250114,20250127,CUST044,PROD007,SUP009,RC010,LOC008,Closed,Medium,7338.09,17,13,0,Supplier Claim,Final Inspection,D002,System,Operations
CLM000101,2026-10-17,2026-11-15,20261017,20261115,CUST005,PROD007,SUP009,RC005,LOC001,Closed,Medium,8000.0,26,29,0,Internal Event,Process,D018,Audit,Supply Chain
CLM000102,2025-11-22,2025-12-24,20251122,20251224,CUST022,PROD016,SUP003,RC005,LOC004,Closed,Medium,8000.0,24,32,0,Customer Claim,Final Inspection,D003,System,Supply Chain
CLM000103,2025-10-27,2025-12-11,20251027,20251211,CUST019,PROD025,SUP011,RC001,LOC005,Closed,Medium,1118.12,18,45,0,Customer Claim,Process,D004,System,Operations
CLM000104,2024-12-13,2024-12-26,20241213,20241226,CUST018,PROD020,SUP018,RC007,LOC005,Closed,Low,384.86,20,13,0,Internal Event,Incoming,D010,System,Operations
CLM000105,2024-04-24,,20240424,,CUST018,PROD012,SUP018,RC003,LOC006,Open,Low,267.57,13,,0,Customer Claim,Incoming,D006,Inspection,Industrial
CLM000106,2025-02-20,2025-06-02,20250220,20250602,CUST020,PROD024,SUP006,RC006,LOC008,Closed,High,25000.0,20,102,1,Customer Claim,Process,D020,Operator,Supply Chain
CLM000107,2023-09-06,2023-10-27,20230906,20231027,CUST018,PROD001,SUP016,RC003,LOC005,Closed,High,9631.89,22,51,0,Internal Event,Incoming,D002,Inspection,Supply Chain
CLM000108,2026-04-03,,20260403,,CUST019,PROD001,SUP002,RC005,LOC007,Pending,Critical,52856.3,24,,0,Customer Claim,Incoming,D009,Audit,Industrial
CLM000109,2024-08-31,,20240831,,CUST005,PROD008,SUP006,RC003,LOC001,In Analysis,Medium,1448.01,26,,0,Customer Claim,Incoming,D016,Operator,Operations
CLM000110,2025-03-18,2025-03-22,20250318,20250322,CUST014,PROD015,SUP009,RC003,LOC003,Closed,Low,548.27,15,4,0,Customer Claim,Incoming,D017,Operator,Industrial
CLM000111,2026-08-27,,20260827,,CUST003,PROD008,SUP005,RC001,LOC003,Open,Low,1000.69,23,,1,Customer Claim,Process,D011,System,Operations
CLM000112,2026-01-29,2026-01-31,20260129,20260131,CUST030,PROD015,SUP015,RC007,LOC004,Closed,Low,504.75,20,2,0,Customer Claim,Incoming,D019,System,Industrial
CLM000113,2024-11-07,2024-11-21,20241107,20241121,CUST039,PROD001,SUP007,RC002,LOC003,Closed,Low,153.4,20,14,1,Customer Claim,Final Inspection,D007,System,Industrial
CLM000114,2024-08-03,2024-08-14,20240803,20240814,CUST053,PROD016,SUP018,RC008,LOC002,Closed,Low,814.41,17,11,0,Customer Claim,Logistics,D007,Customer,Industrial
CLM000115,2025-03-22,,20250322,,CUST049,PROD023,SUP015,RC011,LOC006,Pending,High,5000.0,21,,0,Internal Event,Final Inspection,D003,Audit,Operations
CLM000116,2026-09-04,,20260904,,CUST012,PROD016,SUP004,RC011,LOC003,Open,Low,248.18,19,,0,Customer Claim,Customer Site,D010,Inspection,Industrial
CLM000117,2023-01-12,2023-01-16,20230112,20230116,CUST046,PROD013,SUP010,RC003,LOC008,Closed,Low,122.98,22,4,1,Supplier Claim,Process,D017,Inspection,Operations
CLM000118,2023-07-04,2023-08-06,20230704,20230806,CUST049,PROD025,SUP009,RC003,LOC004,Closed,High,5000.0,15,33,0,Customer Claim,Incoming,D005,System,Industrial
CLM000119,2023-11-24,2024-11-18,20231124,20241118,CUST045,PROD003,SUP010,RC003,LOC002,Closed,Critical,23725.85,17,360,0,Customer Claim,Incoming,D012,Customer,Operations
CLM000120,2026-01-23,,20260123,,CUST038,PROD013,SUP012,RC010,LOC003,Pending,Low,458.61,19,,0,Internal Event,Final Inspection,D014,Operator,Industrial
CLM000121,2023-05-27,2023-05-31,20230527,20230531,CUST045,PROD015,SUP018,RC002,LOC003,Closed,Low,1123.09,21,4,0,Customer Claim,Incoming,D017,System,Operations
CLM000122,2024-05-31,2024-06-12,20240531,20240612,CUST027,PROD013,SUP011,RC006,LOC001,Closed,Low,800.02,25,12,1,Customer Claim,Incoming,D019,Customer,Industrial
CLM000123,2023-07-25,,20230725,,CUST050,PROD007,SUP014,RC005,LOC001,Pending,Medium,3692.99,15,,0,Customer Claim,Final Inspection,D017,Operator,Operations
CLM000124,2026-06-13,2026-06-23,20260613,20260623,CUST045,PROD014,SUP017,RC002,LOC006,Closed,Low,129.92,24,10,0,Customer Claim,Final Inspection,D002,Operator,Operations
CLM000125,2023-11-05,2023-12-03,20231105,20231203,CUST006,PROD002,SUP016,RC012,LOC007,Closed,Medium,2927.69,23,28,1,Customer Claim,Process,D015,Customer,Operations
CLM000126,2025-07-30,,20250730,,CUST015,PROD024,SUP017,RC001,LOC001,Pending,Low,701.93,11,,1,Customer Claim,Final Inspection,D017,Audit,Industrial
CLM000127,2023-05-13,2024-03-14,20230513,20240314,CUST040,PROD022,SUP005,RC002,LOC004,Closed,Critical,74690.7,13,306,1,Customer Claim,Customer Site,D019,Audit,Supply Chain
CLM000128,2023-09-02,2023-10-04,20230902,20231004,CUST041,PROD016,SUP009,RC001,LOC005,Closed,Medium,8000.0,19,32,0,Customer Claim,Process,D014,Audit,Industrial
CLM000129,2026-04-30,2026-10-19,20260430,20261019,CUST013,PROD014,SUP011,RC012,LOC007,Closed,Critical,39176.41,23,172,0,Customer Claim,Final Inspection,D003,Inspection,Operations
CLM000130,2025-07-19,,20250719,,CUST009,PROD006,SUP011,RC005,LOC001,In Analysis,High,18373.51,22,,0,Internal Event,Customer Site,D010,Operator,Operations
CLM000131,2025-08-09,2025-09-08,20250809,20250908,CUST038,PROD007,SUP015,RC007,LOC007,Closed,High,25000.0,23,30,0,Customer Claim,Incoming,D006,Customer,Industrial
CLM000132,2025-05-25,,20250525,,CUST020,PROD023,SUP012,RC002,LOC002,Open,Low,398.83,13,,0,Customer Claim,Process,D014,System,Industrial
CLM000133,2023-06-05,,20230605,,CUST038,PROD015,SUP013,RC002,LOC001,Open,Medium,8000.0,22,,1,Internal Event,Process,D011,Audit,Supply Chain
CLM000134,2026-06-24,,20260624,,CUST037,PROD013,SUP012,RC008,LOC006,Open,Low,1500.0,14,,1,Internal Event,Logistics,D017,Audit,Supply Chain
CLM000135,2026-08-06,2026-08-15,20260806,20260815,CUST002,PROD023,SUP003,RC011,LOC005,Closed,Low,654.93,27,9,0,Customer Claim,Customer Site,D007,Inspection,Supply Chain
CLM000136,2026-05-04,2026-05-16,20260504,20260516,CUST006,PROD017,SUP006,RC004,LOC008,Closed,Low,731.45,21,12,0,Customer Claim,Process,D018,Operator,Supply Chain
CLM000137,2023-03-01,2023-04-05,20230301,20230405,CUST044,PROD001,SUP016,RC003,LOC003,Closed,Medium,6980.18,14,35,0,Internal Event,Incoming,D009,System,Industrial
CLM000138,2023-05-06,2023-05-26,20230506,20230526,CUST025,PROD001,SUP016,RC003,LOC004,Closed,Medium,1706.18,23,20,0,Customer Claim,Incoming,D015,Audit,Operations
CLM000139,2026-08-07,2026-08-19,20260807,20260819,CUST011,PROD007,SUP004,RC008,LOC001,Closed,Low,1329.71,20,12,0,Customer Claim,Logistics,D015,Operator,Supply Chain
CLM000140,2025-08-14,2025-08-29,20250814,20250829,CUST007,PROD020,SUP007,RC009,LOC003,Closed,Medium,8000.0,15,15,1,Customer Claim,Customer Site,D001,Audit,Operations
CLM000141,2025-04-05,2025-05-16,20250405,20250516,CUST032,PROD001,SUP002,RC006,LOC002,Closed,Medium,7018.46,10,41,0,Customer Claim,Process,D003,Audit,Industrial
CLM000142,2023-03-17,2023-03-28,20230317,20230328,CUST060,PROD001,SUP002,RC002,LOC005,Closed,Low,301.91,25,11,1,Customer Claim,Incoming,D019,Operator,Industrial
CLM000143,2025-10-30,2025-11-12,20251030,20251112,CUST045,PROD005,SUP015,RC004,LOC004,Closed,Medium,1000.0,16,13,1,Supplier Claim,Process,D019,Customer,Supply Chain
CLM000144,2023-07-15,2023-07-27,20230715,20230727,CUST040,PROD003,SUP001,RC011,LOC004,Closed,Low,147.02,25,12,0,Customer Claim,Final Inspection,D013,Operator,Supply Chain
CLM000145,2025-06-13,,20250613,,CUST052,PROD005,SUP010,RC009,LOC001,Pending,Low,676.54,21,,0,Customer Claim,Logistics,D012,Inspection,Supply Chain
CLM000146,2026-06-28,2026-07-21,20260628,20260721,CUST041,PROD022,SUP015,RC011,LOC001,Closed,Medium,2035.22,20,23,0,Customer Claim,Customer Site,D018,Operator,Operations
CLM000147,2026-11-18,2026-11-30,20261118,20261130,CUST043,PROD010,SUP015,RC011,LOC003,Closed,Low,611.67,22,12,1,Internal Event,Customer Site,D012,Operator,Supply Chain
CLM000148,2023-09-04,2023-09-08,20230904,20230908,CUST026,PROD015,SUP005,RC002,LOC002,Closed,Low,968.18,22,4,0,Customer Claim,Process,D001,System,Operations
CLM000149,2025-07-08,,20250708,,CUST059,PROD022,SUP014,RC005,LOC003,Pending,Medium,4581.79,20,,0,Customer Claim,Final Inspection,D007,Inspection,Supply Chain
CLM000150,2024-11-27,,20241127,,CUST031,PROD019,SUP009,RC003,LOC004,Pending,Low,157.73,27,,0,Internal Event,Incoming,D007,Inspection,Industrial
CLM000151,2025-09-06,2025-09-15,20250906,20250915,CUST008,PROD011,SUP011,RC004,LOC008,Closed,Low,1500.0,16,9,0,Internal Event,Process,D012,Inspection,Industrial
